Question,Answer
How much SCQF credit points is the Industrial Placement module worth?,The Industrial Placement module is worth 60.00 SCQF credit points.
How much ECTS credit points is the Industrial Placement module worth?,The Industrial Placement module is worth 30.00 ECTS credit points.
What is the module code for the Industrial Placement module?,The module code for Industrial Placement is : M3I323077.
Who is the module leader for the Industrial Placement module?,The module leader for Industrial Placement is : Iain Lambie.
When does the Industrial Placement module actually start?,The module Industrial Placement will start either in trimester A -september start or trimester C -may start.
How is the assessment's split up for the Industrial Placement module?,There is 1 component to the Industrial Placement assessment's which is coursework weighting at 100.00 with a threshold of 40%.
What is the Integrated Project 1 module about?,The module offers students the opportunity to develop a solution to a realistic problem relevant to the domain of the student's programme of study and appropriate to the student's level of study. It will involve the utilisation of the knowledge and skills developed throughout the student's current level of study in producing an appropriate solution. The emphasis of this module is on: understanding the contribution which digital technologies and skills relevant to the student's area of study are making to current global business and society- and how these are changing and developing; understanding the development lifecycle practiced by professionals in their area of study (e.g. the software application development lifecycle and its constituent parts; the game development process); gaining an insight into the organisational structures and business functions within which the modern professional associated with their intended career pathway are likely to operate- and their possible roles. Students are also introduced to behaviours and issues associated with the contemporary- local and global workplace- the changing nature of work and working practices- and how individuals function either as part of an organisational workforce- or as self employed professionals. The balance of activities will depend on the specific objectives of the project and problem set. The focus for most activities is a group-based project and the work completed within this module by an individual student will require the student to work with other students following the same module. At this programme level the group are expected to follow a given project plan and its constituent processes and activities under direct supervision from a module tutor and work in a self motivated way within defined schedules. Students are expected to develop confidence in their ability to work with others on analysing and creatively solving problems- and evaluating their work within the context of the original project requirement. This module will ground students in team building and team working skills- and the use of reflective practices to support personal and professional development. The primary assessable outcome of the project will be an artefact appropriate to the problem set- developed through significant coordinated practical work- together with supporting documentation.
What SHE level is the Integrated Project 1 module?,The Integrated Project 1 module's SHE level is 1.
How much SCQF credit points is the Integrated Project 1 module worth?,The Integrated Project 1 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Integrated Project 1 module worth?,The Integrated Project 1 module is worth 10.00 ECTS credit points.
What is the module code for the Integrated Project 1 module?,The module code's for Integrated Project 1 is : M1I324176 -M1I325668.
Who is the module leader for the Integrated Project 1 module?,The module leader's for Integrated Project 1 is: Mario Soflano -Peter Barrie.
When does the Integrated Project 1 module actually start?,The module Integrated Project 1 will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Integrated Project 1 module?,There are 3 components to the Integrated Project 1 assessment's one being coursework1 weighting at 70.00 with a threshold of 35% -another one being coursework2 with a weighting of 20.00 with a threshold of 35% -the last one beinmg coursework3 with a weighting of 10.00 with a threshold of 35%.
What is the Integrated Project 1 (CCIS) module about?,The module offers students the opportunity to develop a solution to a realistic problem relevant to the domain of the student's programme of study and appropriate to the student's level of study. It will involve the utilisation of the knowledge and skills developed throughout the student's current level of study in producing an appropriate solution. The emphasis of this module is on: understanding the contribution which digital technologies and skills relevant to the student's area of study are making to current global business and society- and how these are changing and developing; understanding the development lifecycle practiced by professionals in their area of study (e.g. the software application development lifecycle and its constituent parts; the game development process); gaining an insight into the organisational structures and business functions within which the modern professional associated with their intended career pathway are likely to operate- and their possible roles. Students are also introduced to behaviours and issues associated with the contemporary- local and global workplace- the changing nature of work and working practices- and how individuals function either as part of an organisational workforce- or as self employed professionals. The balance of activities will depend on the specific objectives of the project and problem set. The focus for most activities is a group-based project and the work completed within this module by an individual student will require the student to work with other students following the same module. At this programme level the group are expected to follow a given project plan and its constituent processes and activities under direct supervision from a module tutor and work in a self motivated way within defined schedules. Students are expected to develop confidence in their ability to work with others on analysing and creatively solving problems- and evaluating their work within the context of the original project requirement. This module will ground students in team building and team working skills- and the use of reflective practices to support personal and professional development. The primary assessable outcome of the project will be an artefact appropriate to the problem set- developed through significant coordinated practical work- together with supporting documentation.
What SHE level is the Integrated Project 1 (CCIS) module?,The  Integrated Project 1 (CCIS) module's SHE level is 1.
How much SCQF credit points is the Integrated Project 1 (CCIS) module worth?,The Integrated Project 1 (CCIS) module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Integrated Project 1 (CCIS) module worth?,The Integrated Project 1 (CCIS) module is worth 10.00 ECTS credit points.
What is the module code for the Integrated Project 1 (CCIS) module?,The module code for Integrated Project 1 (CCIS) is: M1I322997.
Who is the module leader for the Integrated Project 1 (CCIS) module?,The module leader for Integrated Project 1 (CCIS) is: Bobby Law.
When does the Integrated Project 1 (CCIS) module actually start?,The module Integrated Project 1 (CCIS) will start in trimester B -january start.
How is the assessment's split up for the Integrated Project 1 (CCIS) module?,There are 3 components to the Integrated Project 1 (CCIS) assessment's one being coursework1 weighting at 70.00 with a threshold of 35% -another one being coursework2 with a weighting of 20.00 with a threshold of 35% -the last one beinmg coursework3 with a weighting of 10.00 with a threshold of 35%.
What is the Integrated Project 2 module about?,The module offers students the opportunity to develop a solution to a realistic problem relevant to the domain of the student's programme of study and appropriate to the student's level of study. It will involve the utilisation of the knowledge and skills developed throughout the student's current level of study in producing an appropriate solution The emphasis of this module is on applying the development lifecycle practiced by professionals in their area of study (e.g. the software application development lifecycle and its constituent parts; the game development process) to frame and follow a project plan that leads to a solution for a given project specification/design brief relevant to the student's chosen study pathway. The balance of activities will depend on the specific objectives of the topics covered but the problem is intended to provide challenges and learning experiences that further help develop the student's insight into practices and skills associated with their intended career pathway within a simulated working environment- and develop their competence to operate successfully as part of a team. It is a group-based project and the work completed within this module by an individual student will require the student to work with other students following the same module. Project specifications/design briefs are expected to be from real external customers. At this programme level the group are expected to develop and follow a project plan framed around a relevant development process for a well defined problem area as a group with the assistance of- and under the supervision of- a module tutor and work towards well defined deliverables that meet defined requirements using specified resources. Students require working in a self motivated- coordinated way within collectively defined schedules and further developing confidence in their ability to work with others on analysing and creatively solving problems. As well as reflecting on their personal performance (strengths and weaknesses- professional development needs)- students will also participate in peer reflection and evaluation- and reflect upon relevant professional and ethical issues introduced. The primary assessable outcome of the project will be an artefact appropriate to the problem set- developed through significant coordinated practical work- together with supporting documentation. The assessment will include an evaluation of the level of professionalism which teams and individuals have adopted within their work.
What SHE level is the Integrated Project 2 module?,The Integrated Project 2 module's SHE level is 2.
How much SCQF credit points is the Integrated Project 2 module worth?,The Integrated Project 2 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Integrated Project 2 module worth?,The Integrated Project 2 module is worth 10.00 ECTS credit points.
What is the module code for the Integrated Project 2 module?,The module code for the Integrated Project 2 is: M2I324185 -M2I325669.
Who is the module leader for the Integrated Project 2 module?,The module leader's for Integrated Project 2 is: Peter Barrie -Romana Ramzan.
When does the Integrated Project 2 module actually start?,The module Integrated Project 2 will start either in trimester A -september start or trimester B -january start ort trimester C -may start.
How is the assessment's split up for the Integrated Project 2 module?,There are 3 components to the Integrated Project 2 assessment's one being coursework1 weighting at 70.00 with a threshold of 35% -another one being coursework2 with a weighting of 20.00 with a threshold of 35% -the last one beinmg coursework3 with a weighting of 10.00 with a threshold of 35%.   
What is the Integrated Project 2 (CCIS) module about?,The module offers students the opportunity to develop a solution to a realistic problem relevant to the domain of the student's programme of study and appropriate to the student's level of study. It will involve the utilisation of the knowledge and skills developed throughout the student's current level of study in producing an appropriate solution The emphasis of this module is on applying the development lifecycle practiced by professionals in their area of study (e.g. the software application development lifecycle and its constituent parts; the game development process) to frame and follow a project plan that leads to a solution for a given project specification/design brief relevant to the student's chosen study pathway. The balance of activities will depend on the specific objectives of the topics covered but the problem is intended to provide challenges and learning experiences that further help develop the student's insight into practices and skills associated with their intended career pathway within a working environment- and develop their competence to operate successfully as part of a team. It is a group-based project and the work completed within this module by an individual student will require the student to work as part of a team within the workplace.. Project specifications/design briefs are expected to be derived from the student's workplace. At this programme level the group are expected to develop and follow a project plan framed around a relevant development process for a well-defined problem area as a group with the assistance of- and under the supervision of- a module tutor and work towards well defined deliverables that meet defined requirements using specified resources. Students require working in a self-motivated- coordinated way within collectively defined schedules and further developing confidence in their ability to work with others on analysing and creatively solving problems. As well as reflecting on their personal performance (strengths and weaknesses- professional development needs)- students will also participate in peer reflection and evaluation- and reflect upon relevant professional and ethical issues introduced. The primary assessable outcome of the project will be an artefact appropriate to the problem set- developed through significant coordinated practical work- together with supporting documentation. The assessment will include an evaluation of the level of professionalism which teams and individuals have adopted within their work. The percentage of Work Based Learning for this module- as represented by the proportion of the Activity Types which take place off campus- is 79%. The percentage of Work Based Assessment for this module is 100%.
What SHE level is the Integrated Project 2 (CCIS) module?,The Integrated Project 2 (CCIS) module's SHE level is 2.
How much SCQF credit points is the Integrated Project 2 (CCIS) module worth?,The Integrated Project 2 (CCIS) module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Integrated Project 2 (CCIS) module worth?,The Integrated Project 2 (CCIS) module is worth 10.00 ECTS credit points.
What is the module code for the Integrated Project 2 (CCIS) module?,The module code's for Integrated Project 2 (CCIS) is: M2I322998 -M2I35092.
Who is the module leader for the Integrated Project 2 (CCIS) module?,The module leader for Integrated Project 2 (CCIS) is: Jim Devon.
When does the Integrated Project 2 (CCIS) module actually start?,The module Integrated Project 2 (CCIS) will start either on trimester B -january start or trimester C -may start.
How is the assessment's split up for the Integrated Project 2 (CCIS) module?,There are 3 components to the Integrated Project 2 (CCIS) assessment's one being coursework1 weighting at 70.00 with a threshold of 35% -another one being coursework2 with a weighting of 20.00 with a threshold of 35% -the last one beinmg coursework3 with a weighting of 10.00 with a threshold of 35%.
What is the Integrated Project 3 module about?,The module offers students the opportunity to develop a solution to a realistic problem relevant to the domain of the student's programme of study and appropriate to the student's level of study. It will involve the utilisation of the knowledge and skills developed throughout the student's current and previous levels of study in producing an appropriate solution.
What SHE level is the Integrated Project 3 module?,The Integrated Project 3 module's SHE level is 3.
How many SCQF credit points is the Integrated Project 3 module worth?,The Integrated Project 3 module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Integrated Project 3 module worth?,The Integrated Project 3 module is worth 10.00 ECTS credit points.
What is the module code for the Integrated Project 3 module?,The module code for the Integrated Project 3 is: M3W225670.
Who is the module leader for the Integrated Project 3 module?,The module leader for Integrated Project 3 is: Peter Barrie.
When does the Integrated Project 3 module actually start?,The module Integrated Project 3 will start either in trimester B -january start or trimester C -may start.
How is the assessment's split up for the Integrated Project 3 module?,There is 1 component to the Integrated Project 3 assessment which is coursework weighting at 100.00 with a threshold of 40%.
What is the Integrated Project 3 (CCIS) module about?,The module offers students the opportunity to develop a solution to a realistic problem relevant to the domain of the student's programme of study and appropriate to the student's level of study. It will involve the utilisation of the knowledge and skills developed throughout the student's current and previous levels of study in producing an appropriate solution. The emphasis of this module is on innovation relevant to the student's chosen study pathway. The balance of activities will depend on the specific objectives of the topics covered but the problem is intended to provide challenges and learning experiences that further help develop the student's insight into their intended career pathway within a simulated working environment- and develop their competence to operate successfully. It is a group-based project and the work completed within this module by an individual student will require the student to work with other students following the same module. Project groups are normally expected to be multidisciplinary and to be able to integrate different professional working practices.
What SHE level is the Integrated Project 3 (CCIS) module?,The Integrated Project 3 (CCIS) module's SHE level is 3.
How much SCQF credit points is the Integrated Project 3 (CCIS) module worth?,The Integrated Project 3 (CCIS) module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Integrated Project 3 (CCIS) module worth?,The Integrated Project 3 (CCIS) module is worth 10.00 ECTS credit points.
What is the module code for the Integrated Project 3 (CCIS) module?,The module code's for the Integrated Project 3 (CCIS) is: M3W224781 -M3W225100.
Who is the module leader for the Integrated Project 3 (CCIS) module?,The module leader for the Integrated Project 3 (CCIS) is: Peter Barrie.
When does the Integrated Project 3 (CCIS) module actually start?,The module Integrated Project 3 (CCIS) will start in either trimester B -january start or trimester C -may start.
How is the assessment's split up for the Integrated Project 3 (CCIS) module?,There are 3 components to the Integrated Project 3 (CCIS) assessment's one being coursework1 weighting at 70.00 with a threshold of 35% -another one being coursework2 with a weighting of 20.00 with a threshold of 35% -the last one beinmg coursework3 with a weighting of 10.00 with a threshold of 35%.
What is the Internet Of Things module about?,This module provides fundamental and practical coverage of the set of converging technologies known as the Internet of Things (IoT). It focuses on representative IoT applications- technologies- frameworks and associated standards that support and underpin IoT applications- such as sensor networks- messaging protocols- security- data storage- analytics- services and human interaction. The module provides in-depth practical coverage of representative IoT implementation frameworks incl uding cloud-based service delivery models.
What SHE level is the Internet Of Things module?,The Internet Of Things module's SHE level is 5.
How many SCQF credit points is the Internet Of Things module worth?,The Internet Of Things module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Internet Of Things module worth?,The Internet Of Things module is worth 10.00 ECTS credit points.
What is the module code for the Internet Of Things module?,The module code for the Internet Of Things is: MMI123998.
Who is the module leader for the Internet Of Things module?,The module leader for the Internet Of Things module is: Peter Barrie.
When does the Internet Of Things module actually start?,The module Internet Of Things will start in trimester B -january start.
How is the assessment's split up for the Internet Of Things module?,There are 2 components to the Internet Of Things module one being coursework1 weighting at 50.00 with a threshold of 45% -another one being coursework2 whith a weighting of 50.00 with a threshold of 45%.
What is the IT Professional Issues And Project Methods module about?,This module seeks to develop understanding and practical skills in advanced project research methods which are in line with industry regulations- standards and practices and are applicable to complex IT projects. Study is undertaken in an integrated fashion to ensure that the professional framework within which such projects are developed- deployed and managed are fully understood.
What SHE level is the IT Professional Issues And Project Methods module?,The IT Professional Issues And Project Methods module's SHE level is 5.
How much SCQF credit points is the IT Professional Issues And Project Methods module worth?,The IT Professional Issues And Project Methods module is worth 20.00 SCQF credit points.
How much ECTS credit points is the IT Professional Issues And Project Methods module worth?,The IT Professional Issues And Project Methods module is worth 10.00 ECTS credit points.
What is the module code for IT Professional Issues And Project Methods module?,The module code for IT Professional Issues And Project Methods is: MMI223999.
Who is the module leader for the IT Professional Issues And Project Methods module?,The module leader for IT Professional Issues And Project Methods is: Huaglory Tianfield.
When does the IT Professional Issues And Project Methods module actually start?,The module IT Professional Issues And Project Methods will start in trimester A -september start.
How is the assessment's split up for the IT Professional Issues And Project Methods module?,There are 2 components to the IT Professional Issues And Project Methods assessment's one being coursework1 weighting at 30.00 with a threshold of 45% -another being coursework2 with a weighting of 70.00 with a threshold of 45%.
What is the IT Project Management 1 module about?,This module provides a solid foundation in Project Management within the context of IT Systems development and deployment. It provides coverage of basic project management concepts and principles (including project planning- scheduling- control and configuration management; and techniques for cost estimation- quality and risk). The module will also include coverage of the human aspects of information security and client data protection as well as key related software project management standards- such as PRINCE2- the software development process (ISO 12207)- and software project quality (SEI CMMI model).
What SHE level is the IT Project Management 1 module?,The IT Project Management 1 module's SHE level is 3.
How much SCQF credit points is the IT Project Management 1 module worth?,The IT Project Management 1 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the IT Project Management 1 module worth?,The IT Project Management 1 module is worth 10.00 ECTS credit points.
What is the module code for the IT Project Management 1 module?,The module code's for the IT Project Management 1 is: M3I322913 -M3I324177 -M3I325096.
Who is the module leader for the IT Project Management 1 module?,The module leader's for the IT Project Management 1 is: Lisa Liu -Fathiya Mohammed.
When does the IT Project Management 1 module actually start?,The module IT Project Management 1 will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the IT Project Management 1 module?,There are 2 components to the IT Project Management 1 assessment's one being a exam weighting 50.00 with a threshold of 35% -the other being coursework with a weighting of 50.00 with a threshold of 35%.
What is the IT Project Management 2 module about?,This module covers advanced Project Management techniques. The processes- principles and themes of the industry standard PRINCE2 Project Management Methodology are covered in detail. The module also provides coverage of frameworks for the management of enterprise-wide IT Service Management Delivery- such as ITIL.
What SHE levbel is the IT Project Management 2 module?,The IT Project Management 2 module's SHE level is 4.
How much SCQF credit points is the IT Project Management 2 module worth?,The IT Project Management 2 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the IT Project Management 2 module worth?,The IT Project Management 2 module is worth 10.00 ECTS credit points.
What is the module code for the IT Project Management 2 module?,The module code's for IT Project Management 2 is: MHI322925 -MHI3325102.
Who is the module leader for the IT Project Management 2 module?,The module leader for IT Project Management 2 module is: Fathiya Mohammed.
When does the IT Project Management 2 module actually start?,The module IT Project Management 2 will start either in trimester A -september start or trimester B -january start.
How is the assessment's split up for the IT Project Management 2 module?,There are 2 components to the IT Project Management 2 assessment's one being a exam weighting at 60.00 with a theshold of 35% -another being coursework with a weighting of 40.00 with threshold of 35%.
What is the Machine Learning And Data Analytics module about?,This module will introduce the challenges and possible solutions around manipulating and analysing various datasets of different shapes and formats. The module is designed to help students learn to build and apply tools that are required to derive business value from data. The tools will range from data preprocessing- analysis to visualization tools.
What SHE level is the Machine Learning And Data Analytics module?,The Machine Learning And Data Analytics module's SHE level is 4.
How much SCQF credit points is the Machine Learning And Data Analytics module worth?,The Machine Learning And Data Analytics module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Machine Learning And Data Analytics module worth?,The Machine Learning And Data Analytics module is worth 10.00 ECTS credit points.
What is the module code for the Machine Learning And Data Analytics module?,The module code for Machine Learning And Data Analytics is: MHI225680.
Who is the module leader for the Machine Learning And Data Analytics module?,The module leader for Machine Learning And Data Analytics is: Yan Zhang.
When does the Machine Learning And Data Analytics module actually start?,The module Machine Learning And Data Analytics will start in trimester A -september start.
How is the assessment's split up for the Machine Learning And Data Analytics module?,There are 2 components to the Machine Learning And Data Analytics assessment's one being coursework1 weighting at 50.00 with a threshold of 35% -another being coursework2 with a weighting of 50.00 with a threshold of 35%.
What is the Masters Project (CAPSTONE) module about?,The project acts as a vehicle for extending the knowledge and understanding of the student and the technical community in some specialist area. It serves- through its length- complexity and rigour- as a suitable vehicle for extending- in the student- a range of personal- interpersonal and communication skills. In addition- it serves to develop and extend a range of high-level 'thinking' skills- including analysing and synthesising skills and affords the opportunity for the student to demonstrate initiative and creativity in a major piece of technological work. The project will require students to draw on the skills learned in the taught modules and to use investigative skill to identify suitable technologies in order to build a working application and critically appraise the functionality of the application.
What SHE level is the  Masters Project (CAPSTONE) module?,The  Masters Project (CAPSTONE) module's SHE level is 5.
How much SCQF credit points is the  Masters Project (CAPSTONE) module worth?,The  Masters Project (CAPSTONE) module is worth 60.00 SCQF credit points.
How much ECTS credit points is the  Masters Project (CAPSTONE) module worth?,The  Masters Project (CAPSTONE) module is worth 30.00 ECTS credit points.
What is the module code for the  Masters Project (CAPSTONE) module?,The module code for  Masters Project (CAPSTONE) is: MMG521685.
Who is the module leader for the  Masters Project (CAPSTONE) module?,The module leader for  Masters Project (CAPSTONE) is: Jim Devon.
When does the  Masters Project (CAPSTONE) module actually start?,The module  Masters Project (CAPSTONE) will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the  Masters Project (CAPSTONE) module?,There are 2 components to the Masters Project (CAPSTONE) assessment's one being corsework1 weighting at 20.00 with a threshold of 45% -another being coursework2 with a weighting of 80.00 with 45% threshold.
What is the Masters Project IT (OIL $ GAS) module about?,The project acts as a vehicle for extending the knowledge and understanding of the student and the technical community in some specialist area. It serves- through its length- complexity and rigour- as a suitable vehicle for extending- in the student- a range of personal- interpersonal and communication skills. In addition- it serves to develop and extend a range of high-level 'thinking' skills- including analysing and synthesising skills and affords the opportunity for the student to demonstrate initiative and creativity in a major piece of technological work. The project will require students to draw on the skills learned in the taught modules and to use investigative skill to identify suitable technologies in order to build a working application and critically appraise the functionality of the application.
What SHE level is the  Masters Project IT (OIL $ GAS) module?,The  Masters Project IT (OIL $ GAS) module's SHE level 5.
How much SCQF credit points is the  Masters Project IT (OIL $ GAS) module worth?,The  Masters Project IT (OIL $ GAS) module is worth 60.00 SCQF credit points.
How much ECTS credit points is the  Masters Project IT (OIL $ GAS) module worth?,The  Masters Project IT (OIL $ GAS) module is worth 30.00 ECTS credit points.
What is the module code for the  Masters Project IT (OIL $ GAS) module?,The module code for  Masters Project IT (OIL $ GAS) is: MMI222927.
Who is the module leader for the  Masters Project IT (OIL $ GAS) module?,The module leader for  Masters Project IT (OIL $ GAS) is: Jim Devon.
When does the  Masters Project IT (OIL $ GAS) module actually start?,The  Masters Project IT (OIL $ GAS) will start in either trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the  Masters Project IT (OIL $ GAS) module?,There are 2 components to the  Masters Project IT (OIL $ GAS) assessment's one being coursework1 weighting at 20.00 with a threshold of 45% -another being coursework2 with a weighting of 80.00 with a threshold of 45%.
What is the Mathematics And Statistics Of Experimentation module about?,This first year module is designed to provide a basic introduction to the theory and application of mathematical and statistical methods within the chemical sciences. Practical statistical work will be carried out using an appropriate statistical package.
What SHE level is the Mathematics And Statistics Of Experimentation module?,The Mathematics And Statistics Of Experimentation module's SHE level is 1.
How much SCQF credit points is the Mathematics And Statistics Of Experimentation module worth?,The Mathematics And Statistics Of Experimentation module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Mathematics And Statistics Of Experimentation module worth?,The Mathematics And Statistics Of Experimentation module is worth 10.00 ECTS credit points.
What is the module code for the Mathematics And Statistics Of Experimentation module?,The module code for Mathematics And Statistics Of Experimentation is: M1G308810.
Who is the module leader for the Mathematics And Statistics Of Experimentation module?,The module leader for Mathematics And Statistics Of Experimentation module is: Leonard Scott.
When does the Mathematics And Statistics Of Experimentation module actually start?,The module Mathematics And Statistics Of Experimentation will start in trimester A -september start.
How is the assesment's split up for the Mathematics And Statistics Of Experimentation module?,There are 4 components for Mathematics And Statistics Of Experimentation assessment's one being a exam weighting at 40.00 with a threshold of 35% -another being coursework1 with a weighting of 20.00 with a threshold of 35% -another being coursework2 with a weighting of 20.00 -last being coursework3 with a weighting of 20.00 with a threshold of 35%.
What is the Mathematics For Computer Games module about?,This module provides an introduction to the mathematics underpinning the computing engines and graphics libraries used in games technology. Students will be able to formulate and solve simple one and two dimensional problems of the type arising in games programming environments.
What SHE level is the Mathematics For Computer Games module?,The Mathematics For Computer Games module's SHE level is 1.
How much SCQF scredit points is the Mathematics For Computer Games module worth?,The Mathematics For Computer Games module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Mathematics For Computer Games module worth?,The Mathematics For Computer Games module is worth 10.00 ECTS credit points.
What is the module code for the Mathematics For Computer Games module?,The module code's for Mathematics For Computer Games is: M1I623007 -M1I625703.
Who is the module leader for the Mathematics For Computer Games module?,The module leader for Mathematics For Computer Games is: Leonard Scott.
When does the Mathematics For Computer Games module actually start?,The module Mathematics For Computer Games will either start in trimester A -september start or trimester B -january start.
How is the assessment's split up for the Mathematics For Computer Games module?,There are 3 components for the Mathematics For Computer Games assessment's one being exam1 weighting at 60.00 with a threshold of 35% -another being exam2 with a weighting of 20.00 with a theshold of 35% -last being exam3 with a weighting of 20.00 with a theshold of 35%.
What is the Mathematics For Computing module about?,This module introduces elements of discrete mathematics underpinning the study of both hardware and software systems. The techniques developed in this module will be practically based with an emphasis on problem solving. The material will be accessible to students with a limited mathematical background.
What SHE level is the Mathematics For Computing module?,The Mathematics For Computing module's SHE level is 1.
How much SCQF credit points is the Mathematics For Computing module worth?,The Mathematics For Computing module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Mathematics For Computing module worth?,The Mathematics For Computing module is worth 10.00 ECTS credit points.
What is the module code for the Mathematics For Computing module?,The module code's for Mathematics For Computing is: M1I325851 -M1I324168.
Who is the module leader for the Mathematics For Computing module?,The module leader's for Mathematics For Computing is: Salma Mohamed -Calum MacDonald.
When does the Mathematics For Computing module actually start?,The module Mathematics For Computing will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Mathematics For Computing module?,There are 2 components for the Mathematics For Computing assessment's one being exam1 weighting at 40.00 with a threshold of 35% -another being exam2 with a weighting of 60.00 with a theshold of 35%.
What is the Mobile Platform Development module about?,This module introduces students to the specific requirements of developing an application which runs on a mobile platform such as Android- iOS- Windows Phone- Blackberry. Students will make use of an appropriate programming language and programming tools to develop a working application for a mobile device. Students investigate the HCI issues that are specific to a mobile application and utilise appropriate communication technologies to transfer data between mobile devices when appropriate.
What SHE level is the Mobile Platform Development module?,The Mobile Platform Development module's SHE level is 4.
How much SCQF credit points is the Mobile Platform Development module worth?,The Mobile Platform Development module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Mobile Platform Development module worth?,The Mobile Platform Development module is worth 10.00 ECTS credit points.
What is the module code for the Mobile Platform Development module?,The module code's for Mobile Platform Development is: MHI322959 -MHI324189 -MHI325105 -M3I325644.
Who is the module leader for the Mobile Platform Development module?,The module leader's for Mobile Platform Development is: Iain Lambie -Bobby Law.
When does the Mobile Platform Development module actually start?,The module Mobile Platform Development will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Mobile Platform Development module?,There are 2 components for the Mobile Platform Development assessment's one being exam1 weighting at 50.00 with a threshold of 35% -another being coursework with a weighting of 50.00 with a theshold of 35%.
What is the Object Oriented Analysis And Design module about?,This module provides a detailed coverage of object-oriented analysis and design of software systems. It provides coverage of the Unified Modelling Language (UML) notation and the practical application of UML in the development of information systems using currently available software modelling tools. It will also provide coverage of the use of Analysis and Design Models.
What SHE level is the Object Oriented Analysis And Design module?,The Object Oriented Analysis And Design module's SHE level is 2.
How much SCQF credit points is the Object Oriented Analysis And Design module worth?,The Object Oriented Analysis And Design module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Object Oriented Analysis And Design module worth?,The Object Oriented Analysis And Design module is worth 10.00 ECTS credit points.
What is the module code for the Object Oriented Analysis And Design module?,The module code's for Object Oriented Analysis And Design is: M2I322952 -M2I324179 -M2I325090.
Who is the module leader for the Object Oriented Analysis And Design module?,The module leader's for Object Oriented Analysis And Design is: Brian Shields -Lisa Liu.
When does the Object Oriented Analysis And Design module actually start?,The module Object Oriented Analysis And Design will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Object Oriented Analysis And Design module?,There are 2 components for the Object Oriented Analysis And Design assessment's one being a exam weighting at 50.00 with a threshold of 35% -another being coursework with a weighting of 50.00 with a theshold of 35%.
What is the Professional Issues module about?,This module addresses major issues relevant to the modern computing professional. Such issues may at time be both complex and conroversial. Reference is required to a wide range of technological- economical- social- legal- ethical and philosophical cocerns. Major issues and themes include: The emergence of ubiquitous computing; automation; system development; synergy and conflict; safety and reliability; social and military conserns; privacy; freedom of speech; intellectual property; legislation; professional ethics and characteristics of professional bodies.
What SHE level is the Professional Issues module?,The Professional Issues module's SHE level is 4.
How much SCQF credit points is the Professional Issues module worth?,The Professional Issues module is worth 10.00 SCQF credit points.
How much ECTS credit points is the Professional Issues module worth/,The Professional Issues module is worth 5.00 ECTS credit points.
What is the module code for the Professional Issues module?,The module code for Professional Issues is: MHG705459.
Who is the module leader for the Professional Issues module?,The module leader for Professional Issues is: Yan Zhang.
When does the Professional Issues module actually start?,The module Professional Issues will start in trimester A -september start.
How is the assessment's split up for the Professional Issues module?,There are 2 components for the Professional Issues assessment's one being coursework1 weighting at 70.00 with a threshold of n/a -another being coursework with a weighting of 30.00 with a theshold of n/a.
What is the Programming 1 module about?,This module will provide an introduction to the principles and practice of object-oriented programming. It will also introduce the process of developing programs using an appropriate high level managed object-oriented programming language such as Java or C#. It will enable students to develop and test a software solution given a simple set of program requirements. The student will be introduced to the fundamental concepts of object-oriented programming- the basic practical knowledge and skills required to implement programs and a range of program development and testing techniques and practices.
What SHE level is the Programming 1 module?,The Programming 1 module's SHE level is 1.
How much SCQF credit points is the Programming 1 module worth?,The Programming 1 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Programming 1 module worth?,The Programming 1 module is worth 10.00 ECTS credit points.
What is the module code for the Programming 1 module?,The module code's for Programming 1 is: M1I322909 -M1I325083 -M1I324171.
Who is the module leader for the Programming 1 module?,The module leader's for Programming 1 is: James Paterson -Yovin Poorun.
When does the Programming 1 module actually start?,The module Programming 1 will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Programming 1 module?,There are 1 components for the Programming 1 assessment's one being coursework1 weighting at 100.00 with a threshold of 35%.
